"Canton";"Vehicle group / type";"Year of first registration";"Fuel";"2021"
"Schaffhausen";"> Passenger cars";"2010 - 2014";"Electricity";59
"Schaffhausen";"> Passenger cars";"2015";"Electricity";35
"Schaffhausen";"> Passenger cars";"2016";"Electricity";32
"Schaffhausen";"> Passenger cars";"2017";"Electricity";39
"Schaffhausen";"> Passenger cars";"2018";"Electricity";53
"Schaffhausen";"> Passenger cars";"2019";"Electricity";113
"Schaffhausen";"> Passenger cars";"2020";"Electricity";139
"Schaffhausen";"> Passenger cars";"2021";"Electricity";192
"Schaffhausen";"> Passenger cars";"Unknown";"Electricity";0
"Schaffhausen";"> Motorcycles";"Before 1960";"Electricity";0
"Schaffhausen";"> Motorcycles";"1960 - 1979";"Electricity";0
"Schaffhausen";"> Motorcycles";"1980 - 1989";"Electricity";0
"Schaffhausen";"> Motorcycles";"1990 - 1999";"Electricity";6
"Schaffhausen";"> Motorcycles";"2000 - 2004";"Electricity";2
"Schaffhausen";"> Motorcycles";"2005 - 2009";"Electricity";6
"Schaffhausen";"> Motorcycles";"2010 - 2014";"Electricity";57
"Schaffhausen";"> Motorcycles";"2015";"Electricity";6
"Schaffhausen";"> Motorcycles";"2016";"Electricity";9
"Schaffhausen";"> Motorcycles";"2017";"Electricity";7
"Schaffhausen";"> Motorcycles";"2018";"Electricity";11
"Schaffhausen";"> Motorcycles";"2019";"Electricity";11
"Schaffhausen";"> Motorcycles";"2020";"Electricity";10
"Schaffhausen";"> Motorcycles";"2021";"Electricity";18
"Schaffhausen";"> Motorcycles";"Unknown";"Electricity";0
"Appenzell-Ausserrhoden";"> Passenger cars";"Before 1960";"Electricity";0
"Appenzell-Ausserrhoden";"> Passenger cars";"1960 - 1979";"Electricity";0
"Appenzell-Ausserrhoden";"> Passenger cars";"1980 - 1989";"Electricity";1
"Appenzell-Ausserrhoden";"> Passenger cars";"1990 - 1999";"Electricity";0
"Appenzell-Ausserrhoden";"> Passenger cars";"2000 - 2004";"Electricity";0
"Appenzell-Ausserrhoden";"> Passenger cars";"2005 - 2009";"Electricity";1
"Appenzell-Ausserrhoden";"> Passenger cars";"2010 - 2014";"Electricity";36
"Appenzell-Ausserrhoden";"> Passenger cars";"2015";"Electricity";25
"Appenzell-Ausserrhoden";"> Passenger cars";"2016";"Electricity";28
"Appenzell-Ausserrhoden";"> Passenger cars";"2017";"Electricity";33
"Appenzell-Ausserrhoden";"> Passenger cars";"2018";"Electricity";36
"Appenzell-Ausserrhoden";"> Passenger cars";"2019";"Electricity";73
"Appenzell-Ausserrhoden";"> Passenger cars";"2020";"Electricity";105
"Appenzell-Ausserrhoden";"> Passenger cars";"2021";"Electricity";98
"Appenzell-Ausserrhoden";"> Passenger cars";"Unknown";"Electricity";0
"Appenzell-Ausserrhoden";"> Motorcycles";"Before 1960";"Electricity";0
"Appenzell-Ausserrhoden";"> Motorcycles";"1960 - 1979";"Electricity";0
"Appenzell-Ausserrhoden";"> Motorcycles";"1980 - 1989";"Electricity";0
"Appenzell-Ausserrhoden";"> Motorcycles";"1990 - 1999";"Electricity";3
"Appenzell-Ausserrhoden";"> Motorcycles";"2000 - 2004";"Electricity";1
"Appenzell-Ausserrhoden";"> Motorcycles";"2005 - 2009";"Electricity";0
"Appenzell-Ausserrhoden";"> Motorcycles";"2010 - 2014";"Electricity";19
"Appenzell-Ausserrhoden";"> Motorcycles";"2015";"Electricity";3
"Appenzell-Ausserrhoden";"> Motorcycles";"2016";"Electricity";7
"Appenzell-Ausserrhoden";"> Motorcycles";"2017";"Electricity";4
"Appenzell-Ausserrhoden";"> Motorcycles";"2018";"Electricity";5
"Appenzell-Ausserrhoden";"> Motorcycles";"2019";"Electricity";5
"Appenzell-Ausserrhoden";"> Motorcycles";"2020";"Electricity";11
"Appenzell-Ausserrhoden";"> Motorcycles";"2021";"Electricity";6
"Appenzell-Ausserrhoden";"> Motorcycles";"Unknown";"Electricity";0
"Appenzell-Innerrhoden";"> Passenger cars";"Before 1960";"Electricity";0
"Appenzell-Innerrhoden";"> Passenger cars";"1960 - 1979";"Electricity";0
"Appenzell-Innerrhoden";"> Passenger cars";"1980 - 1989";"Electricity";0
"Appenzell-Innerrhoden";"> Passenger cars";"1990 - 1999";"Electricity";0
"Appenzell-Innerrhoden";"> Passenger cars";"2000 - 2004";"Electricity";1
"Appenzell-Innerrhoden";"> Passenger cars";"2005 - 2009";"Electricity";0
"Appenzell-Innerrhoden";"> Passenger cars";"2010 - 2014";"Electricity";7
"Appenzell-Innerrhoden";"> Passenger cars";"2015";"Electricity";12
"Appenzell-Innerrhoden";"> Passenger cars";"2016";"Electricity";8
"Appenzell-Innerrhoden";"> Passenger cars";"2017";"Electricity";17
"Appenzell-Innerrhoden";"> Passenger cars";"2018";"Electricity";10
"Appenzell-Innerrhoden";"> Passenger cars";"2019";"Electricity";23
"Appenzell-Innerrhoden";"> Passenger cars";"2020";"Electricity";30
"Appenzell-Innerrhoden";"> Passenger cars";"2021";"Electricity";38
"Appenzell-Innerrhoden";"> Passenger cars";"Unknown";"Electricity";0
"Appenzell-Innerrhoden";"> Motorcycles";"Before 1960";"Electricity";0
"Appenzell-Innerrhoden";"> Motorcycles";"1960 - 1979";"Electricity";0
"Appenzell-Innerrhoden";"> Motorcycles";"1980 - 1989";"Electricity";0
"Appenzell-Innerrhoden";"> Motorcycles";"1990 - 1999";"Electricity";0
"Appenzell-Innerrhoden";"> Motorcycles";"2000 - 2004";"Electricity";0
"Appenzell-Innerrhoden";"> Motorcycles";"2005 - 2009";"Electricity";0
"Appenzell-Innerrhoden";"> Motorcycles";"2010 - 2014";"Electricity";3
"Appenzell-Innerrhoden";"> Motorcycles";"2015";"Electricity";1
"Appenzell-Innerrhoden";"> Motorcycles";"2016";"Electricity";1
"Appenzell-Innerrhoden";"> Motorcycles";"2017";"Electricity";0
"Appenzell-Innerrhoden";"> Motorcycles";"2018";"Electricity";1
"Appenzell-Innerrhoden";"> Motorcycles";"2019";"Electricity";1
"Appenzell-Innerrhoden";"> Motorcycles";"2020";"Electricity";3
"Appenzell-Innerrhoden";"> Motorcycles";"2021";"Electricity";1
"Appenzell-Innerrhoden";"> Motorcycles";"Unknown";"Electricity";0
"Sankt Gallen";"> Passenger cars";"Before 1960";"Electricity";0
"Sankt Gallen";"> Passenger cars";"1960 - 1979";"Electricity";1
"Sankt Gallen";"> Passenger cars";"1980 - 1989";"Electricity";0
"Sankt Gallen";"> Passenger cars";"1990 - 1999";"Electricity";5
"Sankt Gallen";"> Passenger cars";"2000 - 2004";"Electricity";2
"Sankt Gallen";"> Passenger cars";"2005 - 2009";"Electricity";7
"Sankt Gallen";"> Passenger cars";"2010 - 2014";"Electricity";220
"Sankt Gallen";"> Passenger cars";"2015";"Electricity";198
"Sankt Gallen";"> Passenger cars";"2016";"Electricity";193
"Sankt Gallen";"> Passenger cars";"2017";"Electricity";267
"Sankt Gallen";"> Passenger cars";"2018";"Electricity";327
"Sankt Gallen";"> Passenger cars";"2019";"Electricity";730
"Sankt Gallen";"> Passenger cars";"2020";"Electricity";997
"Sankt Gallen";"> Passenger cars";"2021";"Electricity";1195
"Sankt Gallen";"> Passenger cars";"Unknown";"Electricity";0
"Sankt Gallen";"> Motorcycles";"Before 1960";"Electricity";0
"Sankt Gallen";"> Motorcycles";"1960 - 1979";"Electricity";0
"Sankt Gallen";"> Motorcycles";"1980 - 1989";"Electricity";0
"Sankt Gallen";"> Motorcycles";"1990 - 1999";"Electricity";18
"Sankt Gallen";"> Motorcycles";"2000 - 2004";"Electricity";4
"Sankt Gallen";"> Motorcycles";"2005 - 2009";"Electricity";11
"Sankt Gallen";"> Motorcycles";"2010 - 2014";"Electricity";153
"Sankt Gallen";"> Motorcycles";"2015";"Electricity";19
"Sankt Gallen";"> Motorcycles";"2016";"Electricity";29
"Sankt Gallen";"> Motorcycles";"2017";"Electricity";31
"Sankt Gallen";"> Motorcycles";"2018";"Electricity";73
"Sankt Gallen";"> Motorcycles";"2019";"Electricity";93
"Sankt Gallen";"> Motorcycles";"2020";"Electricity";119
"Sankt Gallen";"> Motorcycles";"2021";"Electricity";131
"Sankt Gallen";"> Motorcycles";"Unknown";"Electricity";0
"Graubünden";"> Passenger cars";"Before 1960";"Electricity";0
"Graubünden";"> Passenger cars";"1960 - 1979";"Electricity";1
"Graubünden";"> Passenger cars";"1980 - 1989";"Electricity";0
"Graubünden";"> Passenger cars";"1990 - 1999";"Electricity";2
"Graubünden";"> Passenger cars";"2000 - 2004";"Electricity";1
"Graubünden";"> Passenger cars";"2005 - 2009";"Electricity";0
"Graubünden";"> Passenger cars";"2010 - 2014";"Electricity";91
"Graubünden";"> Passenger cars";"2015";"Electricity";68
"Graubünden";"> Passenger cars";"2016";"Electricity";99
"Graubünden";"> Passenger cars";"2017";"Electricity";102
"Graubünden";"> Passenger cars";"2018";"Electricity";105
"Graubünden";"> Passenger cars";"2019";"Electricity";271
"Graubünden";"> Passenger cars";"2020";"Electricity";301
"Graubünden";"> Passenger cars";"2021";"Electricity";394
"Graubünden";"> Passenger cars";"Unknown";"Electricity";0
"Graubünden";"> Motorcycles";"Before 1960";"Electricity";0
"Graubünden";"> Motorcycles";"1960 - 1979";"Electricity";0
"Graubünden";"> Motorcycles";"1980 - 1989";"Electricity";1
"Graubünden";"> Motorcycles";"1990 - 1999";"Electricity";4
"Graubünden";"> Motorcycles";"2000 - 2004";"Electricity";3
"Graubünden";"> Motorcycles";"2005 - 2009";"Electricity";4
"Graubünden";"> Motorcycles";"2010 - 2014";"Electricity";66
"Graubünden";"> Motorcycles";"2015";"Electricity";10
"Graubünden";"> Motorcycles";"2016";"Electricity";20
"Graubünden";"> Motorcycles";"2017";"Electricity";25
"Graubünden";"> Motorcycles";"2018";"Electricity";33
"Graubünden";"> Motorcycles";"2019";"Electricity";19
"Graubünden";"> Motorcycles";"2020";"Electricity";29
"Graubünden";"> Motorcycles";"2021";"Electricity";47
"Graubünden";"> Motorcycles";"Unknown";"Electricity";0
"Aargau";"> Passenger cars";"Before 1960";"Electricity";2
"Aargau";"> Passenger cars";"1960 - 1979";"Electricity";1
"Aargau";"> Passenger cars";"1980 - 1989";"Electricity";1
"Aargau";"> Passenger cars";"1990 - 1999";"Electricity";0
"Aargau";"> Passenger cars";"2000 - 2004";"Electricity";2
"Aargau";"> Passenger cars";"2005 - 2009";"Electricity";0
"Aargau";"> Passenger cars";"2010 - 2014";"Electricity";379
"Aargau";"> Passenger cars";"2015";"Electricity";330
"Aargau";"> Passenger cars";"2016";"Electricity";282
"Aargau";"> Passenger cars";"2017";"Electricity";390
"Aargau";"> Passenger cars";"2018";"Electricity";414
"Aargau";"> Passenger cars";"2019";"Electricity";1052
"Aargau";"> Passenger cars";"2020";"Electricity";1481
"Aargau";"> Passenger cars";"2021";"Electricity";1648
"Aargau";"> Passenger cars";"Unknown";"Electricity";0
"Aargau";"> Motorcycles";"Before 1960";"Electricity";0
"Aargau";"> Motorcycles";"1960 - 1979";"Electricity";0
"Aargau";"> Motorcycles";"1980 - 1989";"Electricity";1
"Aargau";"> Motorcycles";"1990 - 1999";"Electricity";17
"Aargau";"> Motorcycles";"2000 - 2004";"Electricity";5
"Aargau";"> Motorcycles";"2005 - 2009";"Electricity";23
"Aargau";"> Motorcycles";"2010 - 2014";"Electricity";298
"Aargau";"> Motorcycles";"2015";"Electricity";20
"Aargau";"> Motorcycles";"2016";"Electricity";45
"Aargau";"> Motorcycles";"2017";"Electricity";44
"Aargau";"> Motorcycles";"2018";"Electricity";46
"Aargau";"> Motorcycles";"2019";"Electricity";75
"Aargau";"> Motorcycles";"2020";"Electricity";134
"Aargau";"> Motorcycles";"2021";"Electricity";124
"Aargau";"> Motorcycles";"Unknown";"Electricity";0
"Thurgau";"> Passenger cars";"Before 1960";"Electricity";0
"Thurgau";"> Passenger cars";"1960 - 1979";"Electricity";0
"Thurgau";"> Passenger cars";"1980 - 1989";"Electricity";0
"Thurgau";"> Passenger cars";"1990 - 1999";"Electricity";2
"Thurgau";"> Passenger cars";"2000 - 2004";"Electricity";1
"Thurgau";"> Passenger cars";"2005 - 2009";"Electricity";1
"Thurgau";"> Passenger cars";"2010 - 2014";"Electricity";204
"Thurgau";"> Passenger cars";"2015";"Electricity";150
"Thurgau";"> Passenger cars";"2016";"Electricity";139
"Thurgau";"> Passenger cars";"2017";"Electricity";169
"Thurgau";"> Passenger cars";"2018";"Electricity";195
"Thurgau";"> Passenger cars";"2019";"Electricity";504
"Thurgau";"> Passenger cars";"2020";"Electricity";744
"Thurgau";"> Passenger cars";"2021";"Electricity";821
"Thurgau";"> Passenger cars";"Unknown";"Electricity";0
"Thurgau";"> Motorcycles";"Before 1960";"Electricity";0
"Thurgau";"> Motorcycles";"1960 - 1979";"Electricity";0
"Thurgau";"> Motorcycles";"1980 - 1989";"Electricity";0
"Thurgau";"> Motorcycles";"1990 - 1999";"Electricity";12
"Thurgau";"> Motorcycles";"2000 - 2004";"Electricity";3
"Thurgau";"> Motorcycles";"2005 - 2009";"Electricity";9
"Thurgau";"> Motorcycles";"2010 - 2014";"Electricity";137
"Thurgau";"> Motorcycles";"2015";"Electricity";14
"Thurgau";"> Motorcycles";"2016";"Electricity";21
"Thurgau";"> Motorcycles";"2017";"Electricity";27
"Thurgau";"> Motorcycles";"2018";"Electricity";33
"Thurgau";"> Motorcycles";"2019";"Electricity";44
"Thurgau";"> Motorcycles";"2020";"Electricity";54
"Thurgau";"> Motorcycles";"2021";"Electricity";69
"Thurgau";"> Motorcycles";"Unknown";"Electricity";0
"Ticino";"> Passenger cars";"Before 1960";"Electricity";0
"Ticino";"> Passenger cars";"1960 - 1979";"Electricity";0
"Ticino";"> Passenger cars";"1980 - 1989";"Electricity";0
"Ticino";"> Passenger cars";"1990 - 1999";"Electricity";2
"Ticino";"> Passenger cars";"2000 - 2004";"Electricity";9
"Ticino";"> Passenger cars";"2005 - 2009";"Electricity";5
"Ticino";"> Passenger cars";"2010 - 2014";"Electricity";154
"Ticino";"> Passenger cars";"2015";"Electricity";122
"Ticino";"> Passenger cars";"2016";"Electricity";101
"Ticino";"> Passenger cars";"2017";"Electricity";134
"Ticino";"> Passenger cars";"2018";"Electricity";176
"Ticino";"> Passenger cars";"2019";"Electricity";466
"Ticino";"> Passenger cars";"2020";"Electricity";783
"Ticino";"> Passenger cars";"2021";"Electricity";912
"Ticino";"> Passenger cars";"Unknown";"Electricity";0
"Ticino";"> Motorcycles";"Before 1960";"Electricity";0
"Ticino";"> Motorcycles";"1960 - 1979";"Electricity";0
"Ticino";"> Motorcycles";"1980 - 1989";"Electricity";0
"Ticino";"> Motorcycles";"1990 - 1999";"Electricity";5
"Ticino";"> Motorcycles";"2000 - 2004";"Electricity";13
"Ticino";"> Motorcycles";"2005 - 2009";"Electricity";10
"Ticino";"> Motorcycles";"2010 - 2014";"Electricity";156
"Ticino";"> Motorcycles";"2015";"Electricity";26
"Ticino";"> Motorcycles";"2016";"Electricity";24
"Ticino";"> Motorcycles";"2017";"Electricity";21
"Ticino";"> Motorcycles";"2018";"Electricity";31
"Ticino";"> Motorcycles";"2019";"Electricity";66
"Ticino";"> Motorcycles";"2020";"Electricity";96
"Ticino";"> Motorcycles";"2021";"Electricity";105
"Ticino";"> Motorcycles";"Unknown";"Electricity";0
"Vaud";"> Passenger cars";"Before 1960";"Electricity";0
"Vaud";"> Passenger cars";"1960 - 1979";"Electricity";2
"Vaud";"> Passenger cars";"1980 - 1989";"Electricity";0
"Vaud";"> Passenger cars";"1990 - 1999";"Electricity";0
"Vaud";"> Passenger cars";"2000 - 2004";"Electricity";0
"Vaud";"> Passenger cars";"2005 - 2009";"Electricity";1
"Vaud";"> Passenger cars";"2010 - 2014";"Electricity";244
"Vaud";"> Passenger cars";"2015";"Electricity";250
"Vaud";"> Passenger cars";"2016";"Electricity";276
"Vaud";"> Passenger cars";"2017";"Electricity";392
"Vaud";"> Passenger cars";"2018";"Electricity";389
"Vaud";"> Passenger cars";"2019";"Electricity";1367
"Vaud";"> Passenger cars";"2020";"Electricity";1899
"Vaud";"> Passenger cars";"2021";"Electricity";1826
"Vaud";"> Passenger cars";"Unknown";"Electricity";0
"Vaud";"> Motorcycles";"Before 1960";"Electricity";0
"Vaud";"> Motorcycles";"1960 - 1979";"Electricity";0
"Vaud";"> Motorcycles";"1980 - 1989";"Electricity";0
"Vaud";"> Motorcycles";"1990 - 1999";"Electricity";17
"Vaud";"> Motorcycles";"2000 - 2004";"Electricity";4
"Vaud";"> Motorcycles";"2005 - 2009";"Electricity";19
"Vaud";"> Motorcycles";"2010 - 2014";"Electricity";212
"Vaud";"> Motorcycles";"2015";"Electricity";42
"Vaud";"> Motorcycles";"2016";"Electricity";51
"Vaud";"> Motorcycles";"2017";"Electricity";49
"Vaud";"> Motorcycles";"2018";"Electricity";92
"Vaud";"> Motorcycles";"2019";"Electricity";89
"Vaud";"> Motorcycles";"2020";"Electricity";150
"Vaud";"> Motorcycles";"2021";"Electricity";160
"Vaud";"> Motorcycles";"Unknown";"Electricity";0
"Valais";"> Passenger cars";"Before 1960";"Electricity";0
"Valais";"> Passenger cars";"1960 - 1979";"Electricity";3
"Valais";"> Passenger cars";"1980 - 1989";"Electricity";12
"Valais";"> Passenger cars";"1990 - 1999";"Electricity";73
"Valais";"> Passenger cars";"2000 - 2004";"Electricity";23
"Valais";"> Passenger cars";"2005 - 2009";"Electricity";46
"Valais";"> Passenger cars";"2010 - 2014";"Electricity";158
"Valais";"> Passenger cars";"2015";"Electricity";120
"Valais";"> Passenger cars";"2016";"Electricity";109
"Valais";"> Passenger cars";"2017";"Electricity";199
"Valais";"> Passenger cars";"2018";"Electricity";147
"Valais";"> Passenger cars";"2019";"Electricity";399
"Valais";"> Passenger cars";"2020";"Electricity";631
"Valais";"> Passenger cars";"2021";"Electricity";881
"Valais";"> Passenger cars";"Unknown";"Electricity";0
"Valais";"> Motorcycles";"Before 1960";"Electricity";0
"Valais";"> Motorcycles";"1960 - 1979";"Electricity";0
"Valais";"> Motorcycles";"1980 - 1989";"Electricity";0
"Valais";"> Motorcycles";"1990 - 1999";"Electricity";2
"Valais";"> Motorcycles";"2000 - 2004";"Electricity";6
"Valais";"> Motorcycles";"2005 - 2009";"Electricity";22
"Valais";"> Motorcycles";"2010 - 2014";"Electricity";106
"Valais";"> Motorcycles";"2015";"Electricity";22
"Valais";"> Motorcycles";"2016";"Electricity";32
"Valais";"> Motorcycles";"2017";"Electricity";15
"Valais";"> Motorcycles";"2018";"Electricity";21
"Valais";"> Motorcycles";"2019";"Electricity";37
"Valais";"> Motorcycles";"2020";"Electricity";48
"Valais";"> Motorcycles";"2021";"Electricity";70
"Valais";"> Motorcycles";"Unknown";"Electricity";0
"Neuchâtel";"> Passenger cars";"Before 1960";"Electricity";0
"Neuchâtel";"> Passenger cars";"1960 - 1979";"Electricity";2
"Neuchâtel";"> Passenger cars";"1980 - 1989";"Electricity";0
"Neuchâtel";"> Passenger cars";"1990 - 1999";"Electricity";0
"Neuchâtel";"> Passenger cars";"2000 - 2004";"Electricity";0
"Neuchâtel";"> Passenger cars";"2005 - 2009";"Electricity";0
"Neuchâtel";"> Passenger cars";"2010 - 2014";"Electricity";49
"Neuchâtel";"> Passenger cars";"2015";"Electricity";40
"Neuchâtel";"> Passenger cars";"2016";"Electricity";37
"Neuchâtel";"> Passenger cars";"2017";"Electricity";49
"Neuchâtel";"> Passenger cars";"2018";"Electricity";62
"Neuchâtel";"> Passenger cars";"2019";"Electricity";176
"Neuchâtel";"> Passenger cars";"2020";"Electricity";260
"Neuchâtel";"> Passenger cars";"2021";"Electricity";276
"Neuchâtel";"> Passenger cars";"Unknown";"Electricity";0
"Neuchâtel";"> Motorcycles";"Before 1960";"Electricity";0
"Neuchâtel";"> Motorcycles";"1960 - 1979";"Electricity";0
"Neuchâtel";"> Motorcycles";"1980 - 1989";"Electricity";0
"Neuchâtel";"> Motorcycles";"1990 - 1999";"Electricity";0
"Neuchâtel";"> Motorcycles";"2000 - 2004";"Electricity";4
"Neuchâtel";"> Motorcycles";"2005 - 2009";"Electricity";3
"Neuchâtel";"> Motorcycles";"2010 - 2014";"Electricity";32
"Neuchâtel";"> Motorcycles";"2015";"Electricity";6
"Neuchâtel";"> Motorcycles";"2016";"Electricity";7
"Neuchâtel";"> Motorcycles";"2017";"Electricity";5
"Neuchâtel";"> Motorcycles";"2018";"Electricity";8
"Neuchâtel";"> Motorcycles";"2019";"Electricity";16
"Neuchâtel";"> Motorcycles";"2020";"Electricity";15
"Neuchâtel";"> Motorcycles";"2021";"Electricity";16
"Neuchâtel";"> Motorcycles";"Unknown";"Electricity";0
"Genève";"> Passenger cars";"Before 1960";"Electricity";0
"Genève";"> Passenger cars";"1960 - 1979";"Electricity";1
"Genève";"> Passenger cars";"1980 - 1989";"Electricity";0
"Genève";"> Passenger cars";"1990 - 1999";"Electricity";1
"Genève";"> Passenger cars";"2000 - 2004";"Electricity";0
"Genève";"> Passenger cars";"2005 - 2009";"Electricity";3
"Genève";"> Passenger cars";"2010 - 2014";"Electricity";101
"Genève";"> Passenger cars";"2015";"Electricity";90
"Genève";"> Passenger cars";"2016";"Electricity";120
"Genève";"> Passenger cars";"2017";"Electricity";159
"Genève";"> Passenger cars";"2018";"Electricity";191
"Genève";"> Passenger cars";"2019";"Electricity";494
"Genève";"> Passenger cars";"2020";"Electricity";773
"Genève";"> Passenger cars";"2021";"Electricity";727
"Genève";"> Passenger cars";"Unknown";"Electricity";0
"Genève";"> Motorcycles";"Before 1960";"Electricity";0
"Genève";"> Motorcycles";"1960 - 1979";"Electricity";0
"Genève";"> Motorcycles";"1980 - 1989";"Electricity";1
"Genève";"> Motorcycles";"1990 - 1999";"Electricity";3
"Genève";"> Motorcycles";"2000 - 2004";"Electricity";1
"Genève";"> Motorcycles";"2005 - 2009";"Electricity";11
"Genève";"> Motorcycles";"2010 - 2014";"Electricity";150
"Genève";"> Motorcycles";"2015";"Electricity";34
"Genève";"> Motorcycles";"2016";"Electricity";22
"Genève";"> Motorcycles";"2017";"Electricity";27
"Genève";"> Motorcycles";"2018";"Electricity";48
"Genève";"> Motorcycles";"2019";"Electricity";64
"Genève";"> Motorcycles";"2020";"Electricity";69
"Genève";"> Motorcycles";"2021";"Electricity";96
"Genève";"> Motorcycles";"Unknown";"Electricity";0
"Jura";"> Passenger cars";"Before 1960";"Electricity";0
"Jura";"> Passenger cars";"1960 - 1979";"Electricity";0
"Jura";"> Passenger cars";"1980 - 1989";"Electricity";0
"Jura";"> Passenger cars";"1990 - 1999";"Electricity";1
"Jura";"> Passenger cars";"2000 - 2004";"Electricity";0
"Jura";"> Passenger cars";"2005 - 2009";"Electricity";0
"Jura";"> Passenger cars";"2010 - 2014";"Electricity";25
"Jura";"> Passenger cars";"2015";"Electricity";19
"Jura";"> Passenger cars";"2016";"Electricity";20
"Jura";"> Passenger cars";"2017";"Electricity";26
"Jura";"> Passenger cars";"2018";"Electricity";43
"Jura";"> Passenger cars";"2019";"Electricity";78
"Jura";"> Passenger cars";"2020";"Electricity";126
"Jura";"> Passenger cars";"2021";"Electricity";161
"Jura";"> Passenger cars";"Unknown";"Electricity";0
"Jura";"> Motorcycles";"Before 1960";"Electricity";0
"Jura";"> Motorcycles";"1960 - 1979";"Electricity";0
"Jura";"> Motorcycles";"1980 - 1989";"Electricity";0
"Jura";"> Motorcycles";"1990 - 1999";"Electricity";3
"Jura";"> Motorcycles";"2000 - 2004";"Electricity";1
"Jura";"> Motorcycles";"2005 - 2009";"Electricity";0
"Jura";"> Motorcycles";"2010 - 2014";"Electricity";12
"Jura";"> Motorcycles";"2015";"Electricity";3
"Jura";"> Motorcycles";"2016";"Electricity";5
"Jura";"> Motorcycles";"2017";"Electricity";7
"Jura";"> Motorcycles";"2018";"Electricity";4
"Jura";"> Motorcycles";"2019";"Electricity";6
"Jura";"> Motorcycles";"2020";"Electricity";4
"Jura";"> Motorcycles";"2021";"Electricity";12
"Jura";"> Motorcycles";"Unknown";"Electricity";0
"Confederation";"> Passenger cars";"Before 1960";"Electricity";0
"Confederation";"> Passenger cars";"1960 - 1979";"Electricity";0
"Confederation";"> Passenger cars";"1980 - 1989";"Electricity";0
"Confederation";"> Passenger cars";"1990 - 1999";"Electricity";0
"Confederation";"> Passenger cars";"2000 - 2004";"Electricity";0
"Confederation";"> Passenger cars";"2005 - 2009";"Electricity";0
"Confederation";"> Passenger cars";"2010 - 2014";"Electricity";0
"Confederation";"> Passenger cars";"2015";"Electricity";0
"Confederation";"> Passenger cars";"2016";"Electricity";0
"Confederation";"> Passenger cars";"2017";"Electricity";0
"Confederation";"> Passenger cars";"2018";"Electricity";0
"Confederation";"> Passenger cars";"2019";"Electricity";0
"Confederation";"> Passenger cars";"2020";"Electricity";0
"Confederation";"> Passenger cars";"2021";"Electricity";0
"Confederation";"> Passenger cars";"Unknown";"Electricity";0
"Confederation";"> Motorcycles";"Before 1960";"Electricity";0
"Confederation";"> Motorcycles";"1960 - 1979";"Electricity";0
"Confederation";"> Motorcycles";"1980 - 1989";"Electricity";0
"Confederation";"> Motorcycles";"1990 - 1999";"Electricity";0
"Confederation";"> Motorcycles";"2000 - 2004";"Electricity";0
"Confederation";"> Motorcycles";"2005 - 2009";"Electricity";0
"Confederation";"> Motorcycles";"2010 - 2014";"Electricity";0
"Confederation";"> Motorcycles";"2015";"Electricity";0
"Confederation";"> Motorcycles";"2016";"Electricity";0
"Confederation";"> Motorcycles";"2017";"Electricity";0
"Confederation";"> Motorcycles";"2018";"Electricity";0
"Confederation";"> Motorcycles";"2019";"Electricity";0
"Confederation";"> Motorcycles";"2020";"Electricity";0
"Confederation";"> Motorcycles";"2021";"Electricity";0
"Confederation";"> Motorcycles";"Unknown";"Electricity";0
